Maksim Usanov,1
Matt Knowles,3
Hamisi Amani-Dove,1,1995, Rutgers University (College)
Coy Craft,2,2011-2014, FC Dallas (Not a college)
Roberto Donadoni,2,1981-1982, Atalanta (Not a college)
London Woodberry,3,2009-2012, Maryland Terrapins (College)
Martin Rivero,3,2006-2008, Rosario Central (Not a college)
Jose Luis Morales,1
Florian Lechner,1,1996-2001, VfB Stuttgart (Not a college)
Victor Sikora,1
Ben Sweat,1,2010-2013, South Florida Bulls (College)
Eddie Lewis,7
Antti Sumiala,1
Andres Murriagui,1
Kevin Harmse,4,1995-2000, Metro Ford (No Wikipedia link)
Micheal Azira,2,2010-2011, Mobile Rams (College)
Christopher Carrieri,4
Michael Fucito,6,2004-2008, Harvard Crimson (College)
Jerry Bengtson,4
Felix Brillant,2,2002-2003, Franklin Pierce Ravens (College)
Geovanni Deiberson,1
Johann Smith,2,, Bolton Wanderers (Not a college)
Eric Stevenson,1
Sebastian Lletget,1,2009-2010, West Ham United (Not a college)
Charlie Davies,4,2004-2006, Boston College Eagles (College)
Rodrigo dos Santos,2
Matt Kassel,2,2008-2010, Maryland Terrapins (College)
Lothar Matthaus,1,1971-1979, FC Herzogenaurach (Not a college)
Brock Granger,1,2010-2012, Louisville Cardinals (College)
Anthony Obodai,1
Jim Curtin,9,1997-2000, Villanova Wildcats (College)
Joey Melo,2
Chris Aloisi,3,1999-2003, Syracuse Orange (College)
Anthony Arena,2,2009-2012, Wake Forest Demon Deacons (College)
Ignacio Piatti,2,2000, Club Mitre de General Baldissera (No Wikipedia link)
Giovanni Savarese,5,1990-1993, Long Island University (College)
Richard Farrer,7,1990-1992, University of New Mexico (College)
Jean-Marie Mwanga,6
Roberto Gaucho,1
Matteo Ferrari,3,1996-1997, Internazionale (Not a college)
Rauwshan McKenzie,7,2004-2007, Michigan State Spartans (College)
Mauricio Solis,2
Paul Islas,1,2009-2012, Fresno Pacific Sunbirds (College)
Kellen Gulley,2,2011-2012, Chicago Fire (Not a college)
Ricardo Kaká,1,1994-2000, São Paulo (Not a college)
Cristian Techera,1,, River Plate Montevideo (Not a college)
Facundo Diz,1
Kevin Durr,1,2009-2012, Air Force Falcons (College)
Chris Brown,10
Predrag Radosavljevic,10,, Čukarički Stankom (Not a college)
Hugh MacDonald,1
Lawrence Lozzano,4
Josip Mikulic,1,2003-2004, Dinamo Zagreb (Not a college)
Christoff Lindenmayer,1
Joe Tait,1
Dane Richards,7,2005-2006, Clemson Tigers (College)
Scott Benedetti,2,1985-1989, Portland Pilots (College)
Juan Anangono,2
Ty Harden,8,2003-2006, Washington Huskies (College)
Brendan King,1,2008-2011, Notre Dame Fighting Irish (College)
Joey Martinez,3
Robbie Rogers,8,2005, Maryland Terrapins (College)
Jake Traeger,2
Amir Lowery,3,2001-2004, Wake Forest Demon Deacons (College)
Justin Meram,5,2009-2010, Michigan Wolverines (College)
Andre Hainault,4,, Hudson Hawks
Esmundo Rodriguez,4,1995-1996, New Mexico Lobos (College)
Taylor Peay,2,2010-2013, Washington Huskies (College)
Ross Friedman,1
Mamadou Diallo,4
Stephane Auvray,2,1994-2002, Caen (Not a college)
Alex Pineda Chacon,3
Nic Robson,1
Cesar Zambrano,1,2005-2007, UIC (College)
Krystian Witkowski,1
Romario Williams,1,2012-2014, UCF Knights (College)
Ronnie Ekelund,4
Ihor Dotsenko,1,1994-1997, Wake Forest University (College)
Dave van den Bergh,4,1986-1995, Ajax (Not a college)
Danny Pena,5
Jason Farrell,5,1991-1992, Seattle Pacific University (College)
Alex Woods,1
Eric Ebert,2,2003-2006, University of California
Eddy Viator,1
Brian Plotkin,3,2002-2005, Indiana Hoosiers (College)
Lubos Reiter,1
Mechack Jerome,2
Juan Arbelaez,1,2011-2012, VCU Rams (College)
Roy Miller,6
Randy Merkel,1,1996-1998, Maryland Terrapins (College)
Carlos Johnson,1
Erick da Cruz,1
Paul Rideout,1
Román Torres,1,, Chepo (Not a college)
Roger Levesque,7,1999-2002, Stanford Cardinal (Not a college)
