Player,mlsYears,youthYears,youthTeam,ntlCaps
Tony Kuhn,2,1994-1997, Vanderbilt University (College),0
Gonzalo Segares,10,2001-2004, VCU Rams (College),19
Toni Stahl,1,2006-2009, Connecticut Huskies (College),0
Danny Jackson,1
Matt Behncke,4
Damien Perrinelle,2,2001-2004, Amiens (Not a college),0
Eduardo Coudet,1
Branko Boskovic,3,0000-1996, 0000 (No Wikipedia link),37
Marcos Romaneiro,1
Jose de Abreu Oliveira,1,, Flamengo (Not a college),0
Devon McTavish,6,2002-2005, West Virginia Mountaineers (College),0
Deshorn Brown,3,2012, UCF Knights (College),12
Brendan King,1,2008-2011, Notre Dame Fighting Irish (College),1
Roberto Nurse,1
Cedrick Mabwati,1,2005-2008, Atlético Madrid (Not a college),21
Pa Modou Kah,3
Ray Goodlett,3,1994-1997, Howard Bison (College),0
Evan Brown,1,2005-2008, Wake Forest Demon Deacons (College),0
Fernando Monge,1
Francisco Uribe,1
Dustin Branan,1,1999-2002, Brown University (College),0
Paul Young,2
Andres Mendoza,3
Christian Gomez,6
Jeremy Barlow,1,2004-2007, Virginia Cavaliers (College),0
Cornell Glen,5
Ramon Bailey,1
Henry Gutierrez,4,1988-1991, NC State Wolfpack (College),1
Christopher Birchall,4,1993-2001, Port Vale (Not a college),43
Ryan Kelly,1
David Castellanos,1,2000-2001, Connecticut Huskies (College),0
Kevin Olali,1
Istvan Urbanyi,1,, Mátranováki Vasas,2
Walter Garcia,1,, Argentinos Juniors (Not a college),0
Miguel Aguilar,1
Rafael Ramos,1
Erick Scott,1,, Alajuelense (Not a college),28
Percy Olivares,1
Christiano Francois,1,2012-2013, Maryland Terrapins (College),3
Pedro Alvarez,1
Nikolas Besagno,4,2004-2005, IMG Soccer Academy (Not a college),2
Cristian Maidana,2,2004-2006, Banfield (Not a college),7
Logan Pause,12,2000-2002, North Carolina Tar Heels (College),10
Corey Hertzog,3,2008-2010, Penn State Nittany Lions (College),0
Anderson de Souza,1
Brad Davis,14
Ned Grabavoy,12,2001-2003, Indiana Hoosiers (College),4
Konrad Warzycha,3,2007-2010, Ohio State Buckeyes (College),0
Rob Jachym,2,1992-1996, Hartford Hawks (College),0
Damani Ralph,2,2001-2003, University of Connecticut (College),18
Ethan White,5,2009-2010, Maryland Terrapins (College),2
Igor Juliao,1,, Fluminense (Not a college),3
Arevalo Rios,1
Norberto Paparatto,2
Doneil Henry,5,2008-2010, TFC Academy (Not a college),23
Jim Brennan,4,1994-1996, Sora Lazio,50
Richard Mulrooney,12,1995-1998, Creighton Bluejays (College),14
Jordan Allen,2,2013, Virginia Cavaliers (College),14
Walter Cabrera,1,, Cerro Porteño (Not a college),0
Jesse Van Saun,2,1994-1997, St. John's Red Storm (College),0
Ashtone Morgan,5,2008-2010, Toronto FC (Not a college),15
Greg Klazura,2,2007-2011, Notre Dame Fighting Irish (College),0
Isaac Romo,1,, Tapatío (Not a college),2
Chris Brauchle,1,1986-1989, Rutgers Scarlet Knights (College),0
Michael Emenalo,2
Shawn Singh,1
Andy Rosenband,2,2001-2002, Ohio State University (College),0
Brian Ching,12,1996-2000, Gonzaga Bulldogs (College),45
Seth Trembly,7
Michael Farfan,4,2009-2010, North Carolina Tar Heels (College),13
Maurice Johnston,6
Mustapha Jarju,1,, Wallidan (Not a college),27
Danny Wynn,1,2002-05, Saint Louis (College),0
Nana Attakora,7,2004-2006, NTC Ontario (No Wikipedia link),39
Ramon Ramirez,2
Jermaine Jones,2,1995-1999, Eintracht Frankfurt (Not a college),68
Ante Razov,14,1992-1995, UCLA Bruins (College),25
Vuk Rasovic,1,, Partizan (Not a college),5
Omar Jasseh,2,2008, Crystal Palace (Not a college),0
Issey Nakajima-Farran,1,2000-2002, Tokyo Verdy (Not a college),37
Scott Gordon,1
Macoumba Kandji,5,2004-2005, Georgia Military Bulldogs (College),0
John Spencer,4
Eddy Viator,1
Matthew Wiet,1,2010-2012, UCLA Bruins (College),1
Brian Feteke,1
Gonzalo Verón,1,, Sportivo Italiano (Not a college),0
Tim Ward,8
Davis Paul,1,2007-2010, California Golden Bears (College),0
Patrick Nyarko,8,2005-2007, Virginia Tech Hokies (College),1
Christian Castillo,1
Jeff Parke,10,2000-2003, Drexel Dragons (College),1
Matthew Dunn,2
Jared Jeffrey,3,2008-2010, Club Brugge (Not a college),55
Stephen Keel,9,2001-2004, Wake Forest Demon Deacons (College),0
Jacob Thomas,2
Matt Gold,1,2007-2010, Ohio State Buckeyes (College),0
J.T. Noone,1,2006-2009, Temple Owls (College),0
Eddie Lewis,7
Ryan Kinne,1,2007-2010, Monmouth Hawks (College),0
Andrew Shue,1
Matias Sanchez,1,, Racing Club (Not a college),14
Danny Care,1
Davy Armstrong,5,2007-2010, Colorado Rapids (Not a college),0
Dasan Robinson,6,2002-2005, Dayton Flyers (College),0
Gabriel Gala,4,2005-2006, North Mississauga Classics (No Wikipedia link),9
Mitchell Cardenas,1
Kyle Hyland,1,2009-2012, IUPUI Jaguars (College),0
William Sleeth,2
Paul Bravo,6,1988-1989, Santa Clara University (College),4
Andrew Ribeiro,2,2009-2012, Creighton Bluejays (College),0
Tommy Thompson,2
Mike Magee,13
Joseph Greenspan,1,2011-2014, Navy Midshipmen (College),0
Brian West,6
Steve Guppy,1,1989, Southampton (Not a college),3
Clint Peay,5,1991-1995, Virginia Cavaliers (College),3
Jose Tasende,1
Jose Martin,1
Luis Silva,4,2008-2011, UC Santa Barbara Gauchos (College),0
Saad Abdul-Salaam,1,2011-2014, Akron Zips (College),0
Brad Ring,4,2005-2008, Indiana Hoosiers (College),2017
Marcos Paullo Barcelos,1
Lesly Fellinga,1,, Groningen (Not a college),18
Marshall Leonard,6,1998-2001, Virginia (College),0
Manuel Lagos,10,1990-1992, University of Wisconsin–Milwaukee (College),3
Jonathan Borrajo,1,2006-2007, New York Red Bulls Academy (Not a college),0
Kevin Ellis,5
Martin Paterson,1,1998-2005, Stoke City (Not a college),24
Pablo Campos,2,2007-2008, Fresno Pacific Sunbirds (College),0
Diogo de Almeida,1
Sean St. Ledger,1,2001-2002, Peterborough United (Not a college),37
Emery Welshman,1,2011-2012, Oregon State Beavers (College),5
Jared Watts,2,2010-2013, Wake Forest Demon Deacons (College),21
Josh Suggs,1,2007-2010, Humboldt State Jacks (College),0
Louis Beland-Goyette,2
John Kerr,3
Manuel Agogo,2,1995-1997, Sheffield Wednesday (Not a college),30
Fausto Klinger,1,, Seton Hall (College),0
Victor Sikora,1
Dillon Serna,3,2012, Akron Zips (College),25
Kwame Sarkodie,1,2003-2006, Cincinnati Bearcats (College),0
Joshua Elbaum,1
Eric Alexander,6
Zach Loyd,6,2006-2009, North Carolina Tar Heels (College),3
Wes Knight,1,2004-2008, College of Charleston Cougars (College),0
Lider Marmol,1,1999-2002, 4 de Agosto (No Wikipedia link),0
Jeremiah White,1,2000-2003, Wake Forest Demon Deacons (College),1
Juan Pablo Garcia,2
Jose Cancela,5
Juan Manuel Martínez,1,, Vélez Sársfield (Not a college),4
Sanna Nyassi,7,2001-2004, Gambia Ports Authority (Not a college),14
Milton Blanco,1,2004, Fresno Pacific Sunbirds (College),0
Joey Melo,2
Paul Schneider,1
Yazid Atouba Emane,1
Jaime Frias,1,2008-2013, Guadalajara (Not a college),0
Scott Vermillion,4,1995-1997, Virginia University Dynasty (No Wikipedia link),0
Brian Loftin,1,1993-1994, University of Evansville (College),12
Jacob Hustedt,2
Zach Pfeffer,5,2010, IMG Soccer Academy (Not a college),27
Kirk Urso,1,2008-2011, North Carolina Tar Heels (College),2
David Myrie,2,2001-2005, Limón (Not a college),3
Adam Acosta,1
Leighton O'Brien,3,1994-1998, University of San Diego (Not a college),0
Eric Lewis,3
Jose Recio,1
Alberto Delgado,1
Miguel Canizalez,1,2001, Toronto Lynx (Not a college),26
Winston Marshall,1
Grant van de Casteele,1
Orlando Perez,8
Rodney Wallace,7
Paulo Nagamura,11,2001-2004, Arsenal (Not a college),0
Florian Lechner,1,1996-2001, VfB Stuttgart (Not a college),0
Carlos Borja,5
Fabio Zuniga,1
Luis Bolanos,1,2000-2005, LDU Quito (Not a college),11
Nery Castillo,2,1999-2000, Danubio (Not a college),21
Matías Pérez García,2,, Lanús (Not a college),14
Andy Adlard,1
Mohammed Saeid,1,2002-2009, West Bromwich Albion (Not a college),0
Silvio Rudman,1
Danny Koevermans,3
Krisztian Nemeth,1,2003-2005, Győr (Not a college),26
David Ferreira,5,1997-1998, Expreso Rojo (Not a college),39
Perek Belleh,1
Tayt Ianni,2,1990-1993, UCLA (College),1
Carlos Johnson,1
Shane O'Neill,4
Collin Samuel,2
Axel Sjöberg,1,2011-2014, Marquette Golden Eagles (College),0
Alexi Lalas,7,1988-1991, Rutgers (College),96
Andrew Duran,2,2007-2011, Creighton Bluejays (College),3
Eduardo Hurtado,5,1986-1991, Centro Juvenil (No Wikipedia link),74
George Gelnovatch,1,1983-1986, Virginia Cavaliers (College),0
Andy Herron,5,, Limonense (Not a college),25
Krystian Witkowski,1
Rafael Gomes,1
Juan Toja,4,1995-2003, Santa Fe (Not a college),18
Darwin Jones,1
Harrison Afful,1,, Feyenoord Academy (College),70
Johnny Torres,5,1994-1998, Creighton University (College),13
Danny DeVall,1,1993, University of Memphis (College),0
Jarrod Smith,1,2003-2006, West Virginia Mountaineers (College),0
Evan James,1
Jorge Vazquez,1
Nelson Rivas,3
Oriol Rosell,3,2006-2011, Barcelona (Not a college),1
Luis Gallardo,1,, Pérez Zeledón (Not a college),4
Ryan Kawulok,2
Reggie Lambe,2,2007-2009, Ipswich Town (Not a college),15
Kevan George,4,2008-2011, UCF Knights (College),14
John Rusek,1
Mark Semioli,6,1986-1989, Stanford (Not a college),0
Julien Baudet,2
David Lopes,2,2000-2002, Atl. Paranaense (Not a college),0
Diaz Kambere,1,2003-2005, Trinity Western Spartans (College),2
Kamani Hill,3,2004-2006, UCLA Bruins (College),20
Dustin Kirby,2,2003-06, Ohio State (College),0
Jon Brovsky,5
Rodolfo Espinoza,1
Atiba Harris,10,2004-2006, St. Peters FC (Not a college),54
Danny Pena,5
Luke Mulholland,2,2007-2010, Wingate Bulldogs (College),0
Hristo Stoichkov,4,1976-1982, Maritsa Plovdiv (Not a college),84
Oscar Cordon,2,2009-2010, TFC Academy (Not a college),0
Daniel Woolard,6,2003-2006, Midwestern State Mustangs (College),0
Sebastian Grazzini,2,2001-2003, Central Córdoba (Not a college),0
Spencer Wadsworth,1
Ryan Junge,2,2004-2006, Creighton Bluejays (College),0
David Testo,2,2001-2002, North Carolina Tar Heels (College),0
Jorge Castaneda,1
Jorge Rodas,1
Arash Noamouz,1
Jose Botello,3,1996, Los Angeles Golden Eagles (College),0
Leonard Bisaku,1
Clint Dempsey,6,2001-2003, Furman Paladins (College),133
Vardan Adzemian,1
Chad Barrett,11,2003-2004, UCLA Bruins (College),27
Fernando Cardenas,1,, Deportivo Pereira (Not a college),0
Randy Merkel,1,1996-1998, Maryland Terrapins (College),0
Domenic Mediate,4,2001-2004, Maryland Terrapins (College),0
Bryan Jordan,6,2003-2006, Oregon State Beavers (College),1
Sven Holgersson,2
Sebastian Giovinco,1,1996-2006, Juventus (Not a college),53
Jaime Alas,1,2006-2009, River Plate (Not a college),53
Schillo Tshuma,2,2012-2013, Maryland Terrapins (College),0
Jay Chapman,1
Leonel Miranda,1
Amado Guevara,7,1993-1994, Motagua (Not a college),138
Tim Parker,1
Robert Russell,6
Martin Vasquez,3,1980-1983, Los Angeles Golden Eagles (College),10
Marcel de Jong,1,1996-2004, PSV (Not a college),60
Stephen McCarthy,4
Michael Seaton,3
Peter Lak,1,1993-1994, Cal State Fullerton Titans (College),0
Maurice Edu,4,2004-2006, Maryland Terrapins (College),52
Edson Edward,2,2006-2009, Graceland Yellowjackets (College),0
Lionard Pajoy,2
Marquis White,2,1986-1990, University of San Francisco (College),0
Bojan Stepanovic,1,1997-2001, Radnički Jugopetrol (Not a college),0
Eduardo Lillingston,2
Stefan Dimitrov,2
Jacek Ziober,1
Carlos Semedo,1
Patrick Olalere,1,1991-1992, Carson-Newman College (College),0
Reed Matte,1
Chris Albright,15,1997-1998, Virginia Cavaliers (College),32
Cameron Brown,1
Baggio Husidic,5,2006-2008, UIC Flames (College),0
Bradlee Baladez,1,2010-2012, South Carolina Gamecocks (College),0
Mauricio Castro,3
Chris Wingert,12,2000-2003, St. John's Red Storm (College),17
Claudio Vaz Leal,1
Kai Kasiguran,1,2004-2007, Messiah Falcons (College),0
Gordon Kljestan,1,2004-2006, Seton Hall Pirates (College),0
Ilija Stolica,2
Matteo Ferrari,3,1996-1997, Internazionale (Not a college),45
Ibrahim Kante,1
Michael Richardson,1
Aaron Long,1
Jackson Goncalves,6,2005-2006, São Paulo (Not a college),0
Guillermo Barros Schelotto,4,1985-1991, Gimnasia La Plata (Not a college),10
Dane Richards,7,2005-2006, Clemson Tigers (College),2063
Richard Marquez,1
Gary Glasgow,3
Gonzalo Martinez,1
 Fábinho,3
Ben Olsen,11,1995-1997, Virginia Cavaliers (College),37
Geoffrey Castillion,1,2005-2010, Ajax (Not a college),18
Cristian Techera,1,, River Plate Montevideo (Not a college),0
Angel Rivillo,1
Milton Nunez,1
Kevin Durr,1,2009-2012, Air Force Falcons (College),0
Tony Sanneh,8,1990-1993, UW–Milwaukee Panthers (College),43
Patrick Tardieu,1
Dejan Jakovic,5,2004-2007, UAB Blazers (College),31
Dionysus Sebwe,1
Troy Dayak,8
Kyle Helton,1,2003-2006, Duke Blue Devils (College),3
Sebastian Miranda,2,1996-1998, Unión Española (Not a college),0
Erik Imler,2,1989-1992, Virginia Cavaliers (College),0
Brad Rusin,1,2005-2008, UCLA Bruins (College),0
Cesar Zambrano,1,2005-2007, UIC (College),0
Michael Roach,1
Jack McBean,5,2009-2011, LA Galaxy (Not a college),12
Chris Brown,10
Jason Garey,6,2002-2005, Maryland Terrapins (College),0
Jordan Cila,3,2000-2003, Duke (College),0
Syamsir Alam,1,2010-2011, Vitesse (Not a college),0
Collin Martin,3,2012, Wake Forest Demon Deacons (College),5
Raul Rodriguez,1
Ryan Guy,3,2003-2006, San Diego Toreros (College),14
Mikel Arce,1,, Real Sociedad (Not a college),0
Ben McKendry,1,2012-2014, New Mexico Lobos (College),1
Tyler Turner,1,2013-2014, IMG Soccer Academy (Not a college),30
Facundo Erpen,4,0000-1999, 0000 (No Wikipedia link),0
Sal Caccavale,1,2003-2006, American (College),0
Carlos Ledesma,1
Rich Asante,1
Jonathan Leathers,4,2004-2007, Furman Paladins (College),2
Kirk Wilson,2,1996-1997, Drake Bulldogs (College),0
Amos Magee,3,, Wesleyan University (College),0
Jay Ayres,1,2004-2007, Belmont Bruins (College),0
Jose Moreno,1
Alberto Naveda,2
Caleb Folan,1,000?-2001, 000 (No Wikipedia link),8
Ihor Dotsenko,1,1994-1997, Wake Forest University (College),0
Matt Marquess,2,2005-2007, Santa Clara Broncos (College),0
Dejan Rusmir,1
Karl Ouimette,4,2010-2012, Montreal Impact Academy (Not a college),19
Michael Enfield,2,2001-2004, UCLA Bruins (College),0
Waylon Francis,2
Marcos Gonzalez,2,1994-1998, Universidad de Chile (Not a college),29
Igor Simutenkov,3,1985-1989, SK EShVSM Moscow (Not a college),20
Ricardo Clark,11,2001-2002, Furman Paladins (College),34
Didier Drogba,1,1997-1998, Le Mans (Not a college),104
Jani Galik,1
Francisco Navas Cobo,2,2009-2010, Houston Dynamo (College),8
Casey Schmidt,1
Anthony Arena,2,2009-2012, Wake Forest Demon Deacons (College),3
Abdoulaye Ibrahim,2,1999-2005, FC Espoire Academy (No Wikipedia link),2
Andrew Boyens,6,2004-2006, New Mexico Lobos (College),4
Aminu Abdallah,2,2008-2010, International Allies (College),0
Steve Purdy,4,2003-2006, California Golden Bears (College),27
Pablo Mastroeni,16,1994-1997, North Carolina State Wolfpack (College),65
John Diffley,2,1985-1988, American University (College),7
Diego Gutierrez,13
Steve Ralston,15,1991-1995, FIU Golden Panthers (College),36
Ashton Bennett,1,2011-2012, Coastal Carolina Chanticleers (College),0
Brad Evans,9,2003-2006, UC Irvine Anteaters (College),30
Yura Movsisyan,4,2005-2006, Pasadena Lancers (College),35
Pablo Hernández,1
Wellington Paeckart,1,2007-2009, Flamengo (Not a college),0
Brandon Tyler,1,2007, Centro Atlético Fénix (Not a college),0
Hamdi Salihi,1,2000-2002, Vllaznia Shkodër (Not a college),64
C.J. Brown,13,1993-1996, San Jose State Spartans (College),15
Juan Palencia,2
Estuardo Sanchez,1
Dicoy Williams,2,2007-2008, Harbour View (Not a college),14
Matías Laba,3
Rodrigo dos Santos,2
Stern John,2,1995, Mercer CC (College),0
Ryan Pore,5,2002-2004, Tulsa Golden Hurricane (College),0
Harrison Henao,1,2006-2007, Deportivo Rionegro (Not a college),0
Richard Eckersley,4
Danilo da Silva,1,2004, Ginásio Pinhalense-SP (No Wikipedia link),0
Jovan Kirovski,8,1992, Manchester United (Not a college),65
Kosuke Kimura,8,2003-2006, Western Illinois Leathernecks (College),0
William Sunsing,2
Matias Jara,1,, C.A.I. (Not a college),0
Pavel Pardo,2
Rene Corona,1,2003-2004, Santa Ana Dons (College),0
Mersim Beskovic,1,, St. Francis Terriers (College),0
Ernest Inneh,1,1988-1991, Brooklyn College (College),0
Tommy Muller,2
Tighe Dombrowski,2,2000-2003, University of Wisconsin–Milwaukee (College),0
Marco Dos Santos,1
Teemu Tainio,2,1994-1995, TP-47 (Not a college),64
Sal Zizzo,6,2005-2006, UCLA Bruins (College),8
Sidney Rivera,1,2011-2014, Old Dominion Monarchs (College),0
Derek Backman,2,1983-1987, College of Boca Raton (College),0
Mehdi Ballouchy,10,2003-2005, Santa Clara Broncos (College),9
Kevin Molino,1
Michael Butler,1
Mike Lapper,6,1988-1991, UCLA (College),43
Joel Kitamirike,1
Jim Manganello,1,1995-1998, Wheaton College (College),0
Romario Williams,1,2012-2014, UCF Knights (College),7
Obafemi Martins,3,2001-2002, Internazionale (Not a college),41
Patrick Doody,1,2011-2014, Indiana Hoosiers (College),0
Emmanuel Gomez,2,2004-2007, Samger (Not a college),10
Krzysztof Krol,2,, Amica Wronki (Not a college),3
Eder Robles,2
Damian Silvera,2,1992-1995, Virginia (College),0
Clarence Goodson,7,2000-2003, Maryland Terrapins (College),46
Jordan Graye,2,2005-2009, North Carolina Tar Heels (College),3
Michael Ritch,2
Anthony Jackson-Hamel,2,2010-2014, Montreal Impact Academy (Not a college),6
Dustin Sheppard,1,, Rutgers Scarlet Knights (College),0
Cam Wilder,1
Marvin Chavez,6
Amaechi Igwe,3,2006, Santa Clara Broncos (College),35
John Cunliffe,2
James Riley,11
Bobby Boswell,11,2001-2004, FIU Golden Panthers (College),3
Saer Sene,3
Marcelo Gallardo,1
Abraham Thompson,5
Ubusuku Abukusumo,4,1995-1996, NC State Wolfpack (College),0
Elie Ikangu,2,2005-2006, Darlington (Not a college),0
Julian Gomez,1,, NCC Lions (College),0
Oscar Pareja,8
Zac Herold,1
Simo Valakari,3,, Käpylän Pallo (Not a college),32
Ethen Sampson,2,2012-2013, Whitecaps FC Residency (Not a college),0
John Maessner,6,1987-1990, Virginia Cavaliers (College),0
Paul Broome,8,1996-1999, SMU Mustangs (College),0
Sergei Raad,1,2000-2004, Furman Paladins (College),0
Anatole Abang,1,, AS Fortuna de Yaounde,0
Cory Elenio,2,2004-2007, Evansville Purple Aces (College),0
Carlos Marinelli,2,1996-1999, Boca Juniors (Not a college),0
Ross LaBauex,3,2006-2009, Virginia Cavaliers (College),1
Raphael Cox,1,2006-2008, Washington Huskies (College),0
Avery John,5,1996-1999, American Eagles (College),65
Giovani dos Santos,1,2002-2006, Barcelona (Not a college),113
Colin Mitchell,1
Craig Demmin,1,1990-1993, Belhaven College (College),7
David Quesada,1,1990-1991, San Diego State Aztecs (College),1
Chris Tierney,8,2004-2007, Virginia Cavaliers (College),0
Paulo Dos Santos,1
Kyle Miller,2
Brandon Prideaux,11,1994-1997, Washington Huskies (College),0
Tiago Ulisses,1,2001-2008, Corinthians (Not a college),0
Nicolás Mezquida,2,2006-2008, Peñarol (Not a college),17
Peter Lowry,4,2004-2007, Santa Clara Broncos (College),0
Eugene Sepuya,1,2001-2004, Alabama A&M (College),7
Rodion Dyachenko,3,2002-2005, UNLV Rebels (College),0
Radivoje Lekic,1
Dylan Remick,3,2009-2012, Brown Bears (College),0
Jacob Peterson,10,2003-2005, Indiana Hoosiers (College),38
Matt Kmosko,4,1990-1994, Hartwick College (College),3
Kenny Arena,3,1999-2002, Virginia Cavaliers (College),24
Jeff Cunningham,14,1994-1997, South Florida Bulls (College),15
Jamil Walker,5,2000-02, Santa Clara Broncos (College),0
Stan Lembryk,1,, Loyola Greyhounds (College),0
David Accam,1,2004-2008, Right to Dream Academy (Not a college),5
Lawrence Lozzano,4
Saul Martinez,1,1995-1996, Melgar (No Wikipedia link),35
Leandro de Oliveira,1
Ed Pinon,1
Jorge Dely Valdes,2,1975-1986, Atlético Colón (No Wikipedia link),48
Ryan Futagaki,1,1999-2002, UCLA Bruins (College),0
Devon Sandoval,3,2010-2012, New Mexico Lobos (College),0
Kalifa Cisse,1,2003-2004, Toulouse (Not a college),0
Marlon Rojas,1,2000, St. John's Red Storm (College),23
Ambroise Oyongo,2,2008-2010, Moussango FC (No Wikipedia link),17
Stephane Diop,1
Kyle Martino,6,1999-2001, Virginia Cavaliers (College),8
Simon Dawkins,2,2004-2005, Tottenham Hotspur (Not a college),11
Yomby William,1,2005-2007, Old Dominion Monarchs (College),0
Ike Udeh,1,1993-1996, Alabama A&M (College),0
 Estrela,1
Pascal Bedrossian,2,1992-1994, AS Cannes (Not a college),0
Florent Sinama-Pongolle,1,1995-2001, Le Havre (Not a college),44
Adailton dos Santos,1
Machael David,1
Collen Warner,6,2006-2009, Portland Pilots (College),0
Arley Palacios,2
Cle Kooiman,3,0000-1982, 0000 (No Wikipedia link),12
Alvaro Alves Pires,1
Mike Randolph,3,2004-2005, Yavapai Roughriders (College),7
Jake Keegan,1
Diphetogo Selolwane,4,2001, Saint Louis University (College),42
Jerrod Laventure,2,2001-2004, Seton Hall Pirates (College),3
Alexander Lopez,3,1999-2009, Olimpia (Not a college),29
Michael Nwiloh,1
Ty Harden,8,2003-2006, Washington Huskies (College),0
Juan Gonzalez,2
Monsef Zerka,1,1999-2001, AS Nancy (Not a college),12
Ali Curtis,3,1997-2000, Duke Blue Devils (College),0
Scott Uderitz,3,1989-1992, UNLV (College),0
Hanyer Mosquera,2,, Centauros Villavicencio (Not a college),0
Guillermo Franco,1
Guillermo Ramirez,1,1995-1997, Municipal (Not a college),103
Santiago Prim,1,2008-2009, San Lorenzo (Not a college),0
Tom McLaughlin,1
Sterling Wescott,1,1990-1994, Fresno State Bulldogs (College),0
Fabián Castillo,5,, Deportivo Cali (Not a college),17
Jamie Smith,5
Eric Kvello,1,1995-1998, Georgetown Hoyas (College),0
Ugochukwu Ihemelu,9,2001-2004, SMU Mustangs (College),2
Victor Ulloa,5
Casey Townsend,2,2008-2011, Maryland Terrapins (College),7
Freddy Adu,7,2002-2003, IMG Academy (Not a college),76
Joe Germanese,1,2006-2007, Duke University (College),0
Tony Lochhead,4,2001-2004, UC Santa Barbara Gauchos (College),56
Eric Wynalda,6,1987-1989, San Diego State Aztecs (College),106
Nelson Akwari,5,2000-2002, UCLA Bruins (College),10
Justin Morrow,6,2006-2009, Notre Dame Fighting Irish (College),1
Alex Smith,1
Antonio Gilmar,3
Eddie Gaven,11,2001-2003, IMG Soccer Academy (Not a college),18
Kyle Porter,2,2007-2008, Vancouver Whitecaps (Not a college),17
Chris Brunt,2,, Middlesbrough (Not a college),65
Ricky Schramm,1,2003-2006, Georgetown University (College),0
Jeff Curtin,3,1996-1999, Philadelphia Soccer Club Coppa[1] (No Wikipedia link),0
Chris Unger,1,, Princeton Tigers (College),0
Luis Gil,6,2008-2009, IMG Soccer Academy (Not a college),62
Chris Estridge,1,2010-2011, Indiana Hoosiers (College),0
Kasali Casal,1
Kingsley Baiden,1
Seth Sinovic,6,2005-2009, Creighton Bluejays (College),0
Sergio Galvan Rey,2,1993-1994, Boca Juniors (Not a college),0
Chuck Codd,1,1985-1989, North Carolina State (College),0
London Woodberry,3,2009-2012, Maryland Terrapins (College),3
James Bissue,1,2006-2008, Eleven Wise (College),5
Tim Lawson,2
Brian Umony,1
Andy Thoma,1,2011-2014, Washington Huskies (College),0
Brian Grazier,1
Andy Iro,4,2004-2007, UC Santa Barbara Gauchos (College),0
Rob Friend,1,2001-2002, UC Santa Barbara Gauchos (College),45
Bjorn Runstrom,1,1996-2000, Hammarby IF (Not a college),29
Tristan Bowen,6,2007-2008, LA Galaxy (Not a college),3
Ian Joy,2,1996-2000, Tranmere Rovers (Not a college),54
Richard Goulooze,2,, Alkmaarsche Boys,0
Kevin Burns,4
Anthony Obodai,1
Diego Jimenez,1,2002-2004, Tecos UAG (College),0
Tim Weaver,3,1993-1996, San Francisco Dons (College),0
Alejandro Sucre,1
Clement Simonin,1,2013-2014, NC State Wolfpack (College),0
Roger Torres,4,, Envigado (Not a college),0
Robert Ukrop,1,1988-1990, 1992,0
José Gonçalves,3
Raymond Lee,1
Peter Woodring,1,1986-1990, Berkeley (College),3
Duilio Davino,1
Bryan Gallego,1,2011-2013, Akron Zips (College),10
Yherland McDonald,1
Alex Nimo,3,2007, IMG Soccer Academy (Not a college),22
Mirsad Huseinovic,1,1988-1992, Brooklyn College (College),1
Ivan Trujillo,1,, Deportivo Cali (Not a college),0
Jason Boyce,2,1994-1997, Washington Huskies (College),0
Kevin Mesa,1
Miguel Comminges,1
John Wolyniec,12,1995-1998, Fordham Rams (College),2
Timi Mulgrew,1,2011-2014, George Mason Patriots (College),0
Chris Schuler,6,2006-2009, Creighton Bluejays (College),0
Antonio Dovale,1
Kyle Veris,2,2003-2005, Ohio State Buckeyes (College),0
Ryan Raybould,3,2001-04, Yale (College),0
Lloyd Sam,4,, Charlton Athletic (Not a college),2
Kevin Anderson,3
Bilal Duckett,2,2007-2010, Notre Dame Fighting Irish (College),0
Tim Ream,2,2006-2009, Saint Louis Billikens (College),20
Marc Cintron,1,2009-2012, Providence Friars (College),3
Abel Xavier,2
Kevin Harmse,4,1995-2000, Metro Ford (No Wikipedia link),9
Simon Elliott,9,1997-1998, Stanford Cardinal (Not a college),3
Luciano Delbono,1,2009-2012, Wake Forest Demon Deacons (College),0
Terry Cooke,5,1994-1995, Manchester United (Not a college),4
Alejandro Moreno,11,1998-2001, UNC Greensboro Spartans (College),41
Hunter Jumper,3,2008-2011, Virginia Cavaliers (College),1
Marco Reda,1,1996-1997, Winthrop Eagles (College),7
Luis Zapata,1
Giorgi Chirgadze,2
Sasha Gotsmanov,2,2001-2004, Rhode Island (College),0
Franck Songo'o,1,2002-2005, Barcelona (Not a college),9
Tony Cascio,4,2008-2011, Connecticut Huskies (College),0
Emmanuel Osei,2
Markus Halsti,1,0000-2007, 0000 (No Wikipedia link),0
Luis Schmidt,1
Paulo Renato,1
Eric Quill,9,1996, Clemson Tigers (College),0
Steve Bell,1
Austin Washington,2,2005-2007, Gonzaga Bulldogs (College),0
Edgar Trujillo,3
Robert Warzycha,7
Michael Lookingland,1
Steve Klein,1
Don Anding,1,2009-2012, Northeastern Huskies (College),0
Peguy Luyindula,3
Alex Zendejas,1,2012-2014, FC Dallas (Not a college),27
Gerson Echeverry,1,1990-1993, Seton Hall Pirates (College),0
Jonathan Steele,3
Nico Colaluca,4,2004-2006, Virginia Cavaliers (College),8
Pete Marino,6,, Brevard Community College (College),0
Theophilus Khumalo,2,1986, Kaizer Chiefs (Not a college),50
Maximiliano  Urruti,3,2005-2011, Newell's Old Boys (Not a college),0
Stephen Howey,1
Blas Perez,4
David Roth,1
Nicolas Hernandez,3
